,Exmachina,"Yo, Robot",AI,2001,Matrix,Blade Runner,Y
E01,3.00,4.00,3.00,4.00,4.00,2.00,
E02,3.00,5.00,3.00,4.00,5.00,4.00,
E03,3.00,4.50,5.00,3.00,4.00,3.00,
E04,3.50,4.00,3.50,4.50,5.00,5.00,
E05,4.50,3.50,4.00,4.00,4.50,4.00,
E06,3.00,4.50,4.00,3.00,2.50,3.00,
E07,4.00,4.50,3.50,5.00,4.00,4.00,
E08,5.00,4.50,4.00,4.00,4.50,4.50,
E09,3.50,3.00,4.00,5.00,3.50,4.50,
E10,3.00,4.00,3.00,5.00,5.00,5.00,
E11,3.00,5.00,1.00,4.50,3.50,1.50,
E12,3.00,5.00,3.00,4.00,5.00,3.50,
E13,2.50,4.50,3.00,3.00,3.50,4.50,
E14,3.50,5.00,2.50,3.00,4.50,5.00,
E15,4.50,3.00,3.00,3.50,5.00,3.00,
E16,2.50,3.00,5.00,3.00,2.50,3.00,
E17,3.00,4.00,2.50,3.00,5.00,3.00,
E18,4.00,5.00,3.00,4.00,5.00,4.50,
E19,4.50,2.00,2.50,3.00,5.00,2.00,
E20,3.00,4.00,3.00,5.00,4.00,3.00,
E21,3.50,4.50,3.00,3.50,5.00,4.50,
E22,4.50,3.00,2.00,3.00,4.00,1.50,
E23,4.50,3.50,4.00,4.50,5.00,4.00,
E24,4.00,4.00,3.00,3.50,4.50,4.00,
E25,4.00,5.00,2.00,3.50,5.00,4.50,
E26,3.50,2.00,1.50,4.00,4.00,3.50,
E27,4.00,3.50,2.50,4.00,5.00,4.50,
E28,3.00,4.00,3.00,4.00,3.00,5.00,
E29,3.50,4.00,5.00,3.00,4.00,4.50,
E30,3.00,4.00,3.50,4.00,5.00,3.00,
E31,3.50,3.00,4.00,4.50,4.50,4.00,
E32,3.50,5.00,5.00,2.00,5.00,4.00,
E33,4.00,4.00,3.00,3.50,5.00,3.50,
E34,4.00,4.50,3.00,3.50,5.00,5.00,
E35,4.00,4.00,4.00,3.50,4.50,4.00,
E36,4.50,3.00,5.00,4.00,5.00,4.00,
E37,5.00,4.00,4.50,4.00,5.00,5.00,
E38,4.00,4.00,5.00,4.00,4.50,5.00,
E39,3.00,5.00,3.50,4.00,5.00,4.00,
E40,3.50,3.00,4.00,5.00,3.50,4.50,
E41,3.00,5.00,2.50,4.50,3.00,2.00,
E42,3.50,5.00,4.50,3.50,4.50,4.00,
